"origin","destination","storing","cause","date","dur_hours","dur_minutes"
"Groningen","Leeuwarden","Treinstoring Leeuwarden-Groningen","aanrijding met een persoon",2014-10-23 20:16:00,"2","56"
"Dordrecht","Geldermalsen","Treinstoring Dordrecht-Geldermalsen","dier op het spoor",2014-10-23 10:19:00,"0","16"
"Apeldoorn","Zutphen","Treinstoring Zutphen","uitloop van werkzaamheden",2014-10-23 06:02:00,"1","1"
"Arnhem","Zutphen","Treinstoring Zutphen","uitloop van werkzaamheden",2014-10-23 06:02:00,"1","1"
"Deventer","Zutphen","Treinstoring Zutphen","uitloop van werkzaamheden",2014-10-23 06:02:00,"1","1"
"Hengelo","Zutphen","Treinstoring Zutphen","uitloop van werkzaamheden",2014-10-23 06:02:00,"1","1"
"Winterswijk","Zutphen","Treinstoring Zutphen","uitloop van werkzaamheden",2014-10-23 06:02:00,"1","1"
"Arnhem","Nijmegen","Treinstoring Arnhem-Nijmegen","beschadigd spoorviaduct",2014-10-22 22:06:00,"1","59"
"Eindhoven","Roermond","Treinstoring Eindhoven-Roermond/Weert","defecte trein",2014-10-22 21:05:00,"2","19"
"Enschede","Hengelo","Treinstoring Hengelo-Enschede  (sein- en wisselstoring)",NA,2014-10-22 19:44:00,"1","14"
"Den Haag Centraal","Leiden Centraal","Treinstoring Leiden C.","inzet van de politie",2014-10-22 16:19:00,"0","29"
"Den Haag HS","Leiden Centraal","Treinstoring Leiden C.","inzet van de politie",2014-10-22 16:19:00,"0","29"
"Haarlem","Leiden Centraal","Treinstoring Leiden C.","inzet van de politie",2014-10-22 16:19:00,"0","29"
"Leiden Centraal","Schiphol Airport","Treinstoring Leiden C.","inzet van de politie",2014-10-22 16:19:00,"0","29"
"Leiden Centraal","Utrecht Centraal","Treinstoring Leiden C.","inzet van de politie",2014-10-22 16:19:00,"0","29"
"Haarlem","Zandvoort aan Zee","Treinstoring Haarlem-Zandvoort a Zee","wisselstoring",2014-10-22 14:03:00,"0","6"
"Alphen a/d Rijn","Gouda","Treinstoring Gouda-Alphen a/d Rijn","beschadigd spoorviaduct",2014-10-22 13:27:00,"0","13"
"Amsterdam Centraal","Hoorn","Treinstoring Zaandam-Hoorn","defecte trein",2014-10-22 12:27:00,"5","22"
"Breda","Dordrecht","Treinstoring Breda","brandmelding",2014-10-22 11:08:00,"0","16"
"Breda","Roosendaal","Treinstoring Breda","brandmelding",2014-10-22 11:08:00,"0","16"
"Dordrecht","Rotterdam Centraal","Treinstoring Breda","brandmelding",2014-10-22 11:08:00,"0","16"
"Alphen a/d Rijn","Gouda","Treinstoring Gouda-Alphen a/d Rijn","gladde sporen",2014-10-22 10:37:00,"2","3"
"Groningen","Bad Nieuweschans","Treinstoring Groningen-Leer (Ostfr.)","stroomstoring",2014-10-22 09:55:00,"2","28"
"Groningen","Leer (Ostfriesland)","Treinstoring Groningen-Leer (Ostfr.)","stroomstoring",2014-10-22 09:55:00,"2","28"
"Arnhem","Winterswijk","Treinstoring Arnhem-Winterswijk","defect aan het spoor",2014-10-22 08:53:00,"7","19"
"Baarn","Utrecht Centraal","Treinstoring Utrecht C.-Baarn","uitloop van werkzaamheden",2014-10-22 05:25:00,"8","15"
"Groningen","Zwolle","Treinstoring Zwolle-Assen/Leeuwarden","aanrijding met een persoon",2014-10-21 23:49:00,"1","22"
"Leeuwarden","Zwolle","Treinstoring Zwolle-Assen/Leeuwarden","aanrijding met een persoon",2014-10-21 23:49:00,"1","22"
"Amersfoort","Schiphol Airport","Treinstoring Schiphol-Almere C./Hilversum","herstelwerkzaamheden",2014-10-21 23:41:00,"5","52"
"Lelystad Centrum","Schiphol Airport","Treinstoring Schiphol-Almere C./Hilversum","herstelwerkzaamheden",2014-10-21 23:41:00,"5","52"
"Arnhem","Utrecht Centraal","Treinstoring Utrecht C.-Ede-Wageningen","defecte overweg",2014-10-21 22:21:00,"0","56"
"Kampen","Zwolle","Treinstoring Zwolle-Kampen","blikseminslag",2014-10-21 21:50:00,"3","24"
"Baarn","Utrecht Centraal","Treinstoring Baarn-Utrecht C.","blikseminslag",2014-10-21 20:38:00,"4","36"
NA,NA,"Treinstoring Schiphol-Amersfoort/Utrecht: na 23.30 uur aanpassing treinverkeer","Herstelwerkzaamheden",2014-10-21 19:45:00,"3","50"
NA,NA,"Treinstoring Breda-Den Bosch/Eindhoven: extra reistijd in spits","Files rondom Tilburg",2014-10-21 18:00:00,"1","12"
"Amersfoort","Ede-Wageningen","Treinstoring Amersfoort-Ede-Wageningen","defecte trein",2014-10-21 14:32:00,"0","22"
"Amsterdam Centraal","Lelystad Centrum","Treinstoring Amsterdam C.-Lelystad C.","wisselstoring",2014-10-21 10:55:00,"2","1"
"Liège-Guillemins","Maastricht","Treinstoring Maastricht-Liège-Guillemins","acties in het buitenland",2014-10-21 07:59:00,"21","45"
"Maastricht","Maastricht Randwyck","Treinstoring Maastricht-Liège-Guillemins","acties in het buitenland",2014-10-21 07:59:00,"21","45"
"Roosendaal","Vlissingen","Treinstoring Roosendaal-Vlissingen","seinstoring",2014-10-21 07:09:00,"4","15"
"Arnhem","Winterswijk","Treinstoring Arnhem-Winterswijk  (sein- en wisselstoring)",NA,2014-10-21 06:18:00,"0","1"
"Eindhoven","Roermond","Treinstoring Eindhoven-Roermond/Weert","defecte trein",2014-10-20 18:10:00,"0","39"
"Amersfoort","Amsterdam Centraal","Treinstoring Amersfoort","defecte trein",2014-10-20 16:33:00,"0","9"
"Amersfoort","Ede-Wageningen","Treinstoring Amersfoort","defecte trein",2014-10-20 16:33:00,"0","9"
"Amersfoort","Schiphol Airport","Treinstoring Amersfoort","defecte trein",2014-10-20 16:33:00,"0","9"
"Amersfoort","Utrecht Centraal","Treinstoring Amersfoort","defecte trein",2014-10-20 16:33:00,"0","9"
"Amersfoort","Zwolle","Treinstoring Amersfoort","defecte trein",2014-10-20 16:33:00,"0","9"
"Den Haag Centraal","Den Haag HS","Treinstoring Den Haag C.-Den Haag HS","herstelwerkzaamheden",2014-10-20 12:51:00,"0","42"
NA,NA,"Treinstoring Schiphol-Amersfoort/Utrecht Centraal","Wisselstoring",2014-10-20 10:33:00,"1","0"
"Amersfoort","Ede-Wageningen","Treinstoring Amersfoort-Ede-Wageningen","gladde sporen",2014-10-20 07:24:00,"2","2"
"Leiden Centraal","Schiphol Airport","Treinstoring Schiphol-Leiden C.","seinstoring",2014-10-19 21:39:00,"4","27"
"Almere Oostvaarders","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort/Baarn/Hilversum","werkzaamheden",2014-10-19 19:54:00,"6","38"
"Amersfoort","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort/Baarn/Hilversum","werkzaamheden",2014-10-19 19:54:00,"6","38"
"Baarn","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort/Baarn/Hilversum","werkzaamheden",2014-10-19 19:54:00,"6","38"
"Hilversum","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort/Baarn/Hilversum","werkzaamheden",2014-10-19 19:54:00,"6","38"
"Almere Oostvaarders","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort/Baarn/Hilversum","werkzaamheden",2014-10-19 18:30:00,"0","6"
"Amersfoort","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort/Baarn/Hilversum","werkzaamheden",2014-10-19 18:30:00,"0","6"
"Baarn","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort/Baarn/Hilversum","werkzaamheden",2014-10-19 18:30:00,"0","6"
"Hilversum","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort/Baarn/Hilversum","werkzaamheden",2014-10-19 18:30:00,"0","6"
"Amersfoort","Schiphol Airport","Treinstoring Schiphol-Almere C./Hilversum/Utrecht C.  (sein- en wisselstoring)",NA,2014-10-19 08:51:00,"0","16"
"Lelystad Centrum","Schiphol Airport","Treinstoring Schiphol-Almere C./Hilversum/Utrecht C.  (sein- en wisselstoring)",NA,2014-10-19 08:51:00,"0","16"
"Schiphol Airport","Utrecht Centraal","Treinstoring Schiphol-Almere C./Hilversum/Utrecht C.  (sein- en wisselstoring)",NA,2014-10-19 08:51:00,"0","16"
"'s-Hertogenbosch","Utrecht Centraal","Treinstoring Utrecht C.-'s-Hertogenbosch/Tiel","herstelwerkzaamheden",2014-10-18 20:02:00,"1","31"
"Tiel","Utrecht Centraal","Treinstoring Utrecht C.-'s-Hertogenbosch/Tiel","herstelwerkzaamheden",2014-10-18 20:02:00,"1","31"
"Amersfoort","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort","defect aan het spoor",2014-10-18 15:34:00,"1","28"
"Schiphol Airport","Utrecht Centraal","Treinstoring Schiphol-Utrecht C.","wisselstoring",2014-10-18 15:30:00,"2","46"
"'s-Hertogenbosch","Utrecht Centraal","Treinstoring Utrecht C.-'s-Hertogenbosch/Tiel","wisselstoring",2014-10-18 11:47:00,"1","13"
"Tiel","Utrecht Centraal","Treinstoring Utrecht C.-'s-Hertogenbosch/Tiel","wisselstoring",2014-10-18 11:47:00,"1","13"
"Almelo","Zwolle","Treinstoring Zwolle","eerdere verstoring",2014-10-17 22:49:00,"2","43"
"Amersfoort","Zwolle","Treinstoring Zwolle","eerdere verstoring",2014-10-17 22:49:00,"2","43"
"Deventer","Zwolle","Treinstoring Zwolle","eerdere verstoring",2014-10-17 22:49:00,"2","43"
"Emmen","Zwolle","Treinstoring Zwolle","eerdere verstoring",2014-10-17 22:49:00,"2","43"
"Groningen","Zwolle","Treinstoring Zwolle","eerdere verstoring",2014-10-17 22:49:00,"2","43"
"Kampen","Zwolle","Treinstoring Zwolle","eerdere verstoring",2014-10-17 22:49:00,"2","43"
"Leeuwarden","Zwolle","Treinstoring Zwolle","eerdere verstoring",2014-10-17 22:49:00,"2","43"
"Lelystad Centrum","Zwolle","Treinstoring Zwolle","eerdere verstoring",2014-10-17 22:49:00,"2","43"
"Dordrecht","Roosendaal","Treinstoring Roosendaal-Dordrecht","gestrande trein",2014-10-17 21:07:00,"0","58"
"Emmen","Zwolle","Treinstoring Zwolle-Assen/Emmen/Leeuwarden","wisselstoring",2014-10-17 20:57:00,"1","46"
"Groningen","Zwolle","Treinstoring Zwolle-Assen/Emmen/Leeuwarden","wisselstoring",2014-10-17 20:57:00,"1","46"
"Leeuwarden","Zwolle","Treinstoring Zwolle-Assen/Emmen/Leeuwarden","wisselstoring",2014-10-17 20:57:00,"1","46"
"Den Haag Centraal","Utrecht Centraal","Treinstoring Gouda","mensen op het spoor",2014-10-17 17:41:00,"0","22"
"Rotterdam Centraal","Utrecht Centraal","Treinstoring Gouda","mensen op het spoor",2014-10-17 17:41:00,"0","22"
"Almere Oostvaarders","Utrecht Centraal","Treinstoring Hilversum-Almere C.","defecte trein",2014-10-17 17:22:00,"0","12"
"Enkhuizen","Hoorn","Treinstoring Hoorn-Enkhuizen","inzet van de politie",2014-10-17 17:09:00,"0","26"
NA,NA,"Treinstoring Staking Duitsland aankomend weekend","Staking in Duitsland",2014-10-17 14:48:00,"3","22"
"'s-Hertogenbosch","Eindhoven","Treinstoring 's-Hertogenbosch-Eindhoven/Tilburg","aanrijding met een persoon",2014-10-17 13:36:00,"1","45"
"'s-Hertogenbosch","Tilburg","Treinstoring 's-Hertogenbosch-Eindhoven/Tilburg","aanrijding met een persoon",2014-10-17 13:36:00,"1","45"
"Almelo","Hengelo","Treinstoring Hengelo","inzet van de politie",2014-10-17 11:20:00,"0","30"
"Berlin Ostbahnhof","Hengelo","Treinstoring Hengelo","inzet van de politie",2014-10-17 11:20:00,"0","30"
"Enschede","Hengelo","Treinstoring Hengelo","inzet van de politie",2014-10-17 11:20:00,"0","30"
"Hengelo","Oldenzaal","Treinstoring Hengelo","inzet van de politie",2014-10-17 11:20:00,"0","30"
"Hengelo","Zutphen","Treinstoring Hengelo","inzet van de politie",2014-10-17 11:20:00,"0","30"
"Alkmaar","Amsterdam Centraal","Treinstoring Amsterdam C.-Zaandam","seinstoring",2014-10-17 10:16:00,"3","40"
"Amsterdam Centraal","Hoorn","Treinstoring Amsterdam C.-Zaandam","seinstoring",2014-10-17 10:16:00,"3","40"
"Alkmaar","Amsterdam Centraal","Treinstoring Amsterdam C.-Zaandam","seinstoring",2014-10-17 07:47:00,"1","23"
"Amsterdam Centraal","Hoorn","Treinstoring Amsterdam C.-Zaandam","seinstoring",2014-10-17 07:47:00,"1","23"
"Breda","Dordrecht","Treinstoring Dordrecht-Breda/Roosendaal","herstelwerkzaamheden",2014-10-16 19:51:00,"0","18"
"Dordrecht","Roosendaal","Treinstoring Dordrecht-Breda/Roosendaal","herstelwerkzaamheden",2014-10-16 19:51:00,"0","18"
NA,NA,"Treinstoring Herstelwerkzaamheden Dordrecht-Lage Zwaluwe van 19.45 tot 20.15 uur.  (Herstelwerkzaamheden.)",NA,2014-10-16 19:06:00,"0","45"
"Almelo","Mariënberg","Treinstoring Almelo-Mariënberg","wisselstoring",2014-10-16 15:45:00,"1","25"
"Arnhem","Utrecht Centraal","Treinstoring Ede-Wageningen-Arnhem","het onschadelijk maken van een bom uit de Tweede Wereldoorlog",2014-10-16 15:33:00,"0","38"
"Arnhem","Zutphen","Treinstoring Zutphen-Arnhem","defecte trein",2014-10-16 11:13:00,"0","44"
"Winterswijk","Zutphen","Treinstoring Zutphen-Winterswijk","seinstoring",2014-10-16 10:56:00,"1","51"
"Amsterdam Centraal","Utrecht Centraal","Treinstoring Amsterdam C.-Utrecht C.","eerdere verstoring",2014-10-16 09:25:00,"0","37"
"Alkmaar","Amsterdam Centraal","Treinstoring Zaandam-Den Helder","defecte overweg",2014-10-16 09:12:00,"2","37"
"Alkmaar","Den Helder","Treinstoring Zaandam-Den Helder","defecte overweg",2014-10-16 09:12:00,"2","37"
"Amsterdam Centraal","Lelystad Centrum","Treinstoring Lelystad C.-Amsterdam C./Schiphol","seinstoring",2014-10-16 08:25:00,"17","26"
"Lelystad Centrum","Schiphol Airport","Treinstoring Lelystad C.-Amsterdam C./Schiphol","seinstoring",2014-10-16 08:25:00,"17","26"
"Almere Oostvaarders","Utrecht Centraal","Treinstoring Almere C.-Hilversum","seinstoring",2014-10-16 08:25:00,"17","26"
"Haarlem","Zandvoort aan Zee","Treinstoring Haarlem-Zandvoort a Zee","wisselstoring",2014-10-16 07:55:00,"0","17"
"Amsterdam Centraal","Utrecht Centraal","Treinstoring Amsterdam C.-Utrecht C.","defecte trein",2014-10-15 20:10:00,"0","15"
"Kampen","Zwolle","Treinstoring Zwolle-Kampen","beschadigd spoorviaduct",2014-10-15 19:19:00,"0","41"
"Arnhem","Frankfurt (M) Hbf","Treinstoring Köln Hbf","acties in het buitenland",2014-10-15 16:34:00,"4","56"
"Arnhem","Frankfurt (M) Hbf","Treinstoring Köln Hbf","acties in het buitenland",2014-10-15 12:47:00,"0","35"
NA,NA,"Treinstoring Staking Duitsland 15 oktober 2014","acties in het buitenland",2014-10-15 11:03:00,"10","23"
"Haarlem","Zandvoort aan Zee","Treinstoring Haarlem-Zandvoort a Zee","seinstoring",2014-10-15 09:35:00,"0","12"
"'s-Hertogenbosch","Utrecht Centraal","Treinstoring Utrecht C.-'s-Hertogenbosch",NA,2014-10-15 05:21:00,"2","11"
"Eindhoven","Tilburg","Treinstoring Tilburg-Eindhoven","aanrijding met een persoon",2014-10-14 21:30:00,"1","8"
"'s-Hertogenbosch","Eindhoven","Treinstoring Eindhoven-'s-Hertogenbosch","aanrijding met een persoon",2014-10-14 21:28:00,"1","10"
"Eindhoven","Roermond","Treinstoring Eindhoven-Roermond/Weert","wisselstoring",2014-10-14 19:20:00,"0","7"
"Amsterdam Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Schiphol","defecte trein",2014-10-14 18:39:00,"0","41"
"Breda","Dordrecht","Treinstoring Dordrecht-Breda","herstelwerkzaamheden",2014-10-14 15:43:00,"0","48"
"Hoek van Holland Strand","Rotterdam Centraal","Treinstoring Rotterdam C.-Hoek v H. Strand","beperkingen in de materieelinzet",2014-10-14 15:27:00,"4","42"
"Almelo","Deventer","Treinstoring Deventer-Enschede","wisselstoring",2014-10-14 13:58:00,"1","29"
"Almelo","Hengelo","Treinstoring Deventer-Enschede","wisselstoring",2014-10-14 13:58:00,"1","29"
"Enschede","Hengelo","Treinstoring Deventer-Enschede","wisselstoring",2014-10-14 13:58:00,"1","29"
"Almere Oostvaarders","Utrecht Centraal","Treinstoring Almere C.-Lelystad C.","wisselstoring",2014-10-14 12:36:00,"1","9"
"Amsterdam Centraal","Lelystad Centrum","Treinstoring Almere C.-Lelystad C.","wisselstoring",2014-10-14 12:36:00,"1","9"
"Lelystad Centrum","Schiphol Airport","Treinstoring Almere C.-Lelystad C.","wisselstoring",2014-10-14 12:36:00,"1","9"
"Groningen","Roodeschool","Treinstoring Groningen-Roodeschool","aanrijding met een voertuig",2014-10-14 11:40:00,"4","20"
"Arnhem","Utrecht Centraal","Treinstoring Utrecht C.-Ede-Wageningen/Rhenen","defecte trein",2014-10-14 07:39:00,"0","6"
"Rhenen","Utrecht Centraal","Treinstoring Utrecht C.-Ede-Wageningen/Rhenen","defecte trein",2014-10-14 07:39:00,"0","6"
"Amsterdam Centraal","Schiphol Airport","Treinstoring Schiphol-Amsterdam C.","defecte spoorbrug",2014-10-14 07:29:00,"1","48"
"Roosendaal","Vlissingen","Treinstoring Roosendaal-Vlissingen","defecte spoorbrug",2014-10-13 21:02:00,"0","35"
"Arnhem","Winterswijk","Treinstoring Arnhem-Winterswijk","seinstoring",2014-10-13 15:17:00,"4","38"
"Groningen","Leeuwarden","Treinstoring Groningen-Leeuwarden","inzet van de politie",2014-10-13 14:51:00,"0","16"
"Amersfoort","Ede-Wageningen","Treinstoring Amersfoort-Ede-Wageningen","defecte trein",2014-10-13 11:31:00,"0","22"
"'s-Hertogenbosch","Nijmegen","Treinstoring 's-Hertogenbosch-Nijmegen","defecte trein",2014-10-13 09:06:00,"0","41"
"Almere Oostvaarders","Utrecht Centraal","Treinstoring Almere C.-Amsterdam C./Hilversum/Schiphol","uitloop van werkzaamheden",2014-10-13 04:56:00,"46","10"
"Amsterdam Centraal","Lelystad Centrum","Treinstoring Almere C.-Amsterdam C./Hilversum/Schiphol","uitloop van werkzaamheden",2014-10-13 04:56:00,"46","10"
"Lelystad Centrum","Schiphol Airport","Treinstoring Almere C.-Amsterdam C./Hilversum/Schiphol","uitloop van werkzaamheden",2014-10-13 04:56:00,"46","10"
NA,NA,"Treinstoring Uitloop werkzaamheden Almere Centrum-Weesp/Naarden-Bussum","Uitloop werkzaamheden",2014-10-12 19:41:00,"9","16"
"Winterswijk","Zutphen","Treinstoring Zutphen-Winterswijk","aanrijding",2014-10-12 19:31:00,"1","51"
"Roermond","Venlo","Treinstoring Roermond-Venlo","seinstoring",2014-10-12 14:36:00,"0","43"
"Arnhem","Tiel","Treinstoring Arnhem-Tiel  (sein- en wisselstoring)",NA,2014-10-12 12:54:00,"2","4"
"Arnhem","Nijmegen","Treinstoring Arnhem-Nijmegen","eerdere verstoring",2014-10-12 10:55:00,"6","58"
"Arnhem","Utrecht Centraal","Treinstoring Arnhem-Ede-Wageningen","eerdere verstoring",2014-10-12 10:23:00,"7","30"
"Eindhoven","Roermond","Treinstoring Eindhoven-Roermond/Weert","herstelwerkzaamheden",2014-10-12 08:53:00,"1","19"
"Arnhem","Utrecht Centraal","Treinstoring Ede-Wageningen-Arnhem  (sein- en wisselstoring)",NA,2014-10-12 07:00:00,"1","11"
"Arnhem","Nijmegen","Treinstoring Arnhem-Nijmegen  (sein- en wisselstoring)",NA,2014-10-12 06:36:00,"1","35"
NA,NA,"Treinstoring Zwolle-Emmen  (Aanrijding met een persoon.)",NA,2014-10-12 00:43:00,"1","3"
"Emmen","Zwolle","Treinstoring Emmen-Zwolle","aanrijding met een persoon",2014-10-12 00:28:00,"0","12"
"Alkmaar","Amsterdam Centraal","Treinstoring Alkmaar-Zaandam","seinstoring",2014-10-11 23:03:00,"0","28"
"Amersfoort","Ede-Wageningen","Treinstoring Amersfoort-Ede-Wageningen","aanrijding met een persoon",2014-10-11 22:22:00,"1","9"
"Amersfoort","Apeldoorn","Treinstoring Amersfoort-Apeldoorn","aanrijding met een persoon",2014-10-11 22:12:00,"1","19"
"Nijmegen","Venlo","Treinstoring Venlo-Nijmegen","seinstoring",2014-10-11 17:52:00,"2","26"
"'s-Hertogenbosch","Utrecht Centraal","Treinstoring Utrecht C.-'s-Hertogenbosch","uitloop van werkzaamheden",2014-10-11 06:44:00,"2","5"
"'s-Hertogenbosch","Utrecht Centraal","Treinstoring 's-Hertogenbosch-Utrecht C.","herstelwerkzaamheden",2014-10-11 01:16:00,"3","50"
"Eindhoven","Venlo","Treinstoring Venlo-Helmond/Nijmegen","defecte trein",2014-10-10 17:50:00,"0","14"
"Nijmegen","Venlo","Treinstoring Venlo-Helmond/Nijmegen","defecte trein",2014-10-10 17:50:00,"0","14"
"Alphen a/d Rijn","Gouda","Treinstoring Alphen a/d Rijn-Gouda","seinstoring",2014-10-10 14:37:00,"5","10"
"Breda","Dordrecht","Treinstoring Breda","brandmelding",2014-10-10 12:55:00,"0","6"
"Breda","Roosendaal","Treinstoring Breda","brandmelding",2014-10-10 12:55:00,"0","6"
"Breda","Tilburg","Treinstoring Breda","brandmelding",2014-10-10 12:55:00,"0","6"
"Roermond","Venlo","Treinstoring Venlo-Roermond","overwegstoring",2014-10-10 12:53:00,"0","33"
NA,NA,"Treinstoring Na 01.30 uur geen nachttreinen Utrecht-Den Bosch v.v.","Herstelwerkzaamheden",2014-10-10 11:39:00,"13","39"
"Amersfoort","Apeldoorn","Treinstoring Amersfoort-Apeldoorn  (sein- en wisselstoring)",NA,2014-10-10 10:55:00,"1","31"
"Amersfoort","Apeldoorn","Treinstoring Amersfoort-Apeldoorn  (sein- en wisselstoring)",NA,2014-10-10 10:40:00,"0","17"
"Arnhem","Zutphen","Treinstoring Arnhem-Zutphen","defecte trein",2014-10-10 06:41:00,"0","15"
"Roosendaal","Vlissingen","Treinstoring Roosendaal-Bergen op Zoom/Vlissingen","aanrijding",NA,"1","12"
"Amersfoort","Apeldoorn","Treinstoring Amersfoort-Apeldoorn","defecte trein",NA,"1","8"
"Amersfoort","Ede-Wageningen","Treinstoring Amersfoort-Ede-Wageningen","defecte trein",NA,"2","9"
NA,NA,"Treinstoring Den Haag C.-Leiden C.",NA,NA,"0","4"
NA,NA,"Treinstoring Zwolle-Kampen donderdag 9 oktober","Beperkingen in de materieelinzet",NA,"2","53"
"Enschede","Hengelo","Treinstoring Enschede-Hengelo  (sein- en wisselstoring)",NA,NA,"0","28"
"Den Haag Centraal","Den Haag HS","Treinstoring Den Haag C.-Rotterdam C.","herstelwerkzaamheden",NA,"0","53"
"Den Haag HS","Rotterdam Centraal","Treinstoring Den Haag C.-Rotterdam C.","herstelwerkzaamheden",NA,"0","53"
"Eindhoven","Roermond","Treinstoring Eindhoven-Roermond/Weert","aanrijding met een persoon",NA,"1","53"
"Eindhoven","Roermond","Treinstoring Eindhoven-Roermond/Weert","overwegstoring",NA,"1","17"
"Emmen","Zwolle","Treinstoring Emmen-Zwolle  (sein- en wisselstoring)",NA,NA,"0","52"
"'s-Hertogenbosch","Tilburg","Treinstoring Breda-'s-Hertogenbosch","defecte trein",NA,"1","51"
"Breda","Tilburg","Treinstoring Breda-'s-Hertogenbosch","defecte trein",NA,"1","51"
"Roermond","Venlo","Treinstoring Venlo-Roermond","wisselstoring",NA,"1","31"
"Roermond","Sittard","Treinstoring Roermond-Sittard","aanrijding met een persoon",NA,"2","29"
"'s-Hertogenbosch","Eindhoven","Treinstoring Eindhoven-'s-Hertogenbosch/Tilburg","wisselstoring",NA,"0","53"
"Eindhoven","Tilburg","Treinstoring Eindhoven-'s-Hertogenbosch/Tilburg","wisselstoring",NA,"0","53"
"Den Haag Centraal","Den Haag HS","Treinstoring Den Haag HS-Den Haag C.","wisselstoring",NA,"1","10"
"Eindhoven","Venlo","Treinstoring Helmond-Deurne/Venlo","aanrijding met een persoon",NA,"3","14"
"Den Haag HS","Rotterdam Centraal","Treinstoring Den Haag HS-Delft","stroomstoring",NA,"1","30"
"Emmen","Zwolle","Treinstoring Zwolle-Emmen","beperkingen op last van de brandweer",NA,"0","39"
"Groningen","Leeuwarden","Treinstoring Leeuwarden-Groningen","defect materieel",NA,"0","29"
"Heerlen","Stolberg Altstadt","Treinstoring Heerlen-Aachen Hbf","koperdiefstal",NA,"2","10"
"'s-Hertogenbosch","Tilburg","Treinstoring Tilburg","persoon op het spoor",NA,"0","14"
"Breda","Tilburg","Treinstoring Tilburg","persoon op het spoor",NA,"0","14"
"Eindhoven","Tilburg","Treinstoring Tilburg","persoon op het spoor",NA,"0","14"
"Dordrecht","Geldermalsen","Treinstoring Dordrecht-Geldermalsen","persoon op het spoor",NA,"0","22"
"Amersfoort","Zwolle","Treinstoring Zwolle-Amersfoort/Lelystad C.","het onschadelijk maken van een bom uit de Tweede Wereldoorlog",NA,"0","56"
"Lelystad Centrum","Zwolle","Treinstoring Zwolle-Amersfoort/Lelystad C.","het onschadelijk maken van een bom uit de Tweede Wereldoorlog",NA,"0","56"
"Hoek van Holland Strand","Rotterdam Centraal","Treinstoring Hoek v H. Strand-Rotterdam C.","beperkingen in de materieelinzet",NA,"3","45"
"'s-Hertogenbosch","Utrecht Centraal","Treinstoring Utrecht C.-'s-Hertogenbosch","seinstoring",NA,"1","57"
"Amersfoort","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort/Baarn","aanrijding met een persoon",NA,"2","13"
"Baarn","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort/Baarn","aanrijding met een persoon",NA,"2","13"
"Roermond","Venlo","Treinstoring Venlo-Roermond  (sein- en overwegstoring)",NA,NA,"1","26"
"Amsterdam Centraal","Utrecht Centraal","Treinstoring Amsterdam C.-Gouda/Utrecht C.","defecte trein",NA,"0","11"
"Amsterdam Centraal","Woerden","Treinstoring Amsterdam C.-Gouda/Utrecht C.","defecte trein",NA,"0","11"
"Amersfoort","Schiphol Airport","Treinstoring Schiphol-Almere C./Hilversum","gestrande trein",NA,"0","16"
"Lelystad Centrum","Schiphol Airport","Treinstoring Schiphol-Almere C./Hilversum","gestrande trein",NA,"0","16"
"Amersfoort","Schiphol Airport","Treinstoring Schiphol-Amersfoort","geplande werkzaamheden",NA,"34","56"
"Rhenen","Utrecht Centraal","Treinstoring Rhenen-Utrecht C.","diverse oorzaken",NA,"2","48"
NA,NA,"Treinstoring Geen rechtstreekse IC's Amersfoort-Schiphol v.v.","Door geplande werkzaamheden",NA,"4","1"
"'s-Hertogenbosch","Utrecht Centraal","Treinstoring Utrecht C.-'s-Hertogenbosch","wisselstoring",NA,"1","45"
"Groningen","Zwolle","Treinstoring Zwolle-Assen/Leeuwarden","aanrijding met een persoon",NA,"2","55"
"Leeuwarden","Zwolle","Treinstoring Zwolle-Assen/Leeuwarden","aanrijding met een persoon",NA,"2","55"
"'s-Hertogenbosch","Utrecht Centraal","Treinstoring Utrecht C.-'s-Hertogenbosch","wisselstoring",NA,"1","41"
"Hoek van Holland Strand","Rotterdam Centraal","Treinstoring Hoek v H. Strand-Rotterdam C.","gladde sporen",NA,"1","7"
"Amsterdam Centraal","Hoorn","Treinstoring Hoorn-Amsterdam C.","seinstoring",NA,"2","9"
"Breda","Tilburg","Treinstoring Tilburg-Breda/Tilburg Univers.","wisselstoring",NA,"11","43"
"Arnhem","Winterswijk","Treinstoring Winterswijk-Arnhem","defecte trein",NA,"1","24"
"Eindhoven","Venlo","Treinstoring Venlo-Helmond","aanrijding met een persoon",NA,"4","18"
"Rotterdam Centraal","Utrecht Centraal","Treinstoring Gouda-Rotterdam C.","herstelwerkzaamheden",NA,"4","7"
