"origin","destination","storing","cause","date","dur_hours","dur_minutes"
"'s-Hertogenbosch","Eindhoven","Treinstoring 's-Hertogenbosch-Eindhoven/Tilburg","eerdere verstoring",2016-01-21 06:29:00,"14","3"
"'s-Hertogenbosch","Tilburg","Treinstoring 's-Hertogenbosch-Eindhoven/Tilburg","eerdere verstoring",2016-01-21 06:29:00,"14","3"
"HSLRotterdam Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Rotterdam C.","defecte trein",2016-01-20 18:10:00,"0","22"
"Amsterdam Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Rotterdam C.","defecte trein",2016-01-20 18:10:00,"0","22"
"Groningen","Leeuwarden","Treinstoring Groningen-Leeuwarden","defecte trein",2016-01-20 17:53:00,"0","21"
"Amsterdam Centraal","Hoorn","Treinstoring Enkhuizen-Zaandam","defecte bovenleiding",2016-01-20 16:37:00,"7","8"
"Enkhuizen","Hoorn","Treinstoring Enkhuizen-Zaandam","defecte bovenleiding",2016-01-20 16:37:00,"7","8"
"Eindhoven","Venlo","Treinstoring Eindhoven-Helmond","defecte trein",2016-01-19 17:48:00,"2","21"
"Amersfoort","Apeldoorn","Treinstoring Amersfoort-Deventer/Ede-Wageningen","wisselstoring",2016-01-19 16:02:00,"2","25"
"Amersfoort","Ede-Wageningen","Treinstoring Amersfoort-Deventer/Ede-Wageningen","wisselstoring",2016-01-19 16:02:00,"2","25"
"Apeldoorn","Deventer","Treinstoring Amersfoort-Deventer/Ede-Wageningen","wisselstoring",2016-01-19 16:02:00,"2","25"
"Almere Oostvaarders","Utrecht Centraal","Treinstoring Almere C.-Lelystad C.","wisselstoring",2016-01-19 14:35:00,"0","26"
"Amsterdam Centraal","Lelystad Centrum","Treinstoring Almere C.-Lelystad C.","wisselstoring",2016-01-19 14:35:00,"0","26"
"Lelystad Centrum","Schiphol Airport","Treinstoring Almere C.-Lelystad C.","wisselstoring",2016-01-19 14:35:00,"0","26"
NA,NA,"Treinstoring Breukelen-Amsterdam C/Schiphol","Herstelwerkzaamheden",2016-01-19 12:31:00,"2","4"
NA,NA,"Treinstoring HSL Amsterdam-Breda","defecte bovenleiding",2016-01-19 12:20:00,"2","15"
