X,Y,STATIONABB,NAME,Province,Randst_rl,IC_2015
6.259451819353128,52.498177617795008,Dl,Dalfsen,Overijssel,0.000000,0
4.49493821880618,52.072002334313893,Leij,De Leyens,Zuid-Holland,1.000000,0
4.456461801690204,52.147124634015128,Dvnk,De Vink,Zuid-Holland,0.000000,0
5.728059820404185,53.188754467268886,Dei,Deinum,Friesland,0.000000,0
6.715151111362522,52.260046853374917,Ddn,Delden,Overijssel,0.000000,0
4.356643009062067,52.007562959582046,Dt,Delft,Zuid-Holland,0.000000,1
4.364916683209017,51.990820892202095,Dtz,Delft Zuid,Zuid-Holland,0.000000,0
6.924102957303409,53.333762288466382,Dz,Delfzijl,Groningen,0.000000,0
6.90672306572501,53.331946306603754,Dzw,Delfzijl West,Groningen,0.000000,0
5.242120534719676,52.140142612615087,Dld,Den Dolder,Utrecht,0.000000,0
4.324691337059792,52.080898167558075,Gvc,Den Haag Centraal,Zuid-Holland,0.000000,1
4.321733916043799,52.069297954831498,Gv,Den Haag HS,Zuid-Holland,0.000000,1
4.343601225155306,52.079263443821866,Laa,Den Haag Laan van NOI,Zuid-Holland,0.000000,1
4.370123258221246,52.090948896700461,Gvm,Den Haag Mariahoeve,Zuid-Holland,0.000000,0
4.308701589871781,52.054522763820835,Gvmw,Den Haag Moerwijk,Zuid-Holland,0.000000,0
4.391339309409891,52.055732644777493,Ypb,Den Haag Ypenburg,Zuid-Holland,0.000000,0
4.760578837064775,52.956710197839961,Hdr,Den Helder,Noord-Holland,0.000000,1
4.764100922893119,52.93260774585621,Hdrz,Den Helder Zuid,Noord-Holland,0.000000,1
5.788040050041581,51.455953830210731,Dn,Deurne,Noord-Brabant,0.000000,0
6.161172925050465,52.257061688206768,Dv,Deventer,Overijssel,0.000000,1
6.21565024703865,52.250314155873703,Dvc,Deventer Colmschate,Overijssel,0.000000,0
6.132361108984326,51.933228080097379,Did,Didam,Gelderland,0.000000,0
4.966638811655437,52.345543374082361,Dmn,Diemen,Noord-Holland,0.000000,0
4.95589421012621,52.330442138496615,Dmnz,Diemen Zuid,Noord-Holland,0.000000,0
6.103027424901619,52.044635957108177,Dr,Dieren,Gelderland,0.000000,1
6.295509648169031,51.958474975842734,Dtc,Doetinchem,Gelderland,0.000000,0
6.260027766319967,51.959177535746363,Dtch,Doetinchem de Huet,Gelderland,0.000000,0
4.667668551679063,51.806986808141701,Ddr,Dordrecht,Zuid-Holland,0.000000,1
4.716196018154481,51.801926148698335,Ddrs,Dordrecht Stadspolders,Zuid-Holland,0.000000,0
4.671723896380937,51.790238736672798,Ddzd,Dordrecht Zuid,Zuid-Holland,0.000000,0
5.259704433491065,52.065198473656132,Db,Driebergen-Zeist,Utrecht,0.000000,1
4.638779797270347,52.442709587667316,Drh,Driehuis,Noord-Holland,0.000000,0
4.477312156098319,52.048504846945711,Dmp,Driemanspolder,Zuid-Holland,1.000000,0
5.634772649265885,53.177728858031848,Drp,Dronrijp,Friesland,0.000000,0
6.014249819150424,51.943482646371088,Dvn,Duiven,Gelderland,0.000000,0
4.93631126253246,52.323585844990987,Dvd,Duivendrecht,Noord-Holland,0.000000,1
5.878885039095764,51.100127044401916,Ec,Echt,Limburg,0.000000,0
5.668058811692134,52.043284285835867,Edc,Ede Centrum,Gelderland,0.000000,0
5.672081702548924,52.027669125149274,Ed,Ede-Wageningen,Gelderland,0.000000,1
5.710111547515847,50.772031810551013,Edn,Eijsden,Limburg,0.000000,0
5.479581360693412,51.442724113491558,Ehv,Eindhoven,Noord-Brabant,0.000000,1
5.456902638265436,51.450275249793528,Ehb,Eindhoven Beukenlaan,Noord-Brabant,0.000000,0
5.855005855039572,51.91728098382098,Est,Elst,Gelderland,0.000000,0
6.899654675205831,52.790628784350289,Emn,Emmen,Drenthe,0.000000,0
6.874325620655526,52.748719743508872,Emnz,Emmen Zuid,Drenthe,0.000000,0
5.288004931889541,52.699507097793841,Ekz,Enkhuizen,Noord-Holland,0.000000,1
6.888823857254935,52.222131464385193,Es,Enschede,Overijssel,0.000000,1
6.951379928472974,52.221202805474874,Ese,Enschede De Eschmarke,Overijssel,0.000000,0
